year_month,avg_rating,num_ratings,rating_std,median_rating,num_users,num_movies,date,trend,rating_change,rating_pct_change,year,month,quarter,day_of_week,day_of_year,week_of_year,is_month_start,is_month_end,avg_rating_lag_1,avg_rating_lag_2,avg_rating_lag_3,avg_rating_lag_6,avg_rating_lag_12,num_ratings_lag_1,num_ratings_lag_3,num_ratings_lag_6,avg_rating_rolling_mean_3,avg_rating_rolling_std_3,avg_rating_rolling_min_3,avg_rating_rolling_max_3,avg_rating_rolling_mean_6,avg_rating_rolling_std_6,avg_rating_rolling_min_6,avg_rating_rolling_max_6,avg_rating_rolling_mean_12,avg_rating_rolling_std_12,avg_rating_rolling_min_12,avg_rating_rolling_max_12,num_ratings_rolling_mean_3,num_ratings_rolling_std_3,num_ratings_rolling_min_3,num_ratings_rolling_max_3,num_ratings_rolling_mean_6,num_ratings_rolling_std_6,num_ratings_rolling_min_6,num_ratings_rolling_max_6,cumulative_ratings,cumulative_avg_rating
1996-03,3.9827586206896552,58,0.8269873312070817,4.0,1,58,1996-03-01,,,,1996,3,1,4,61,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,3.9827586206896552
1996-04,3.7393939393939393,165,1.2730651013997947,4.0,4,132,1996-04-01,3.7455252123355574,-0.24336468129571598,-6.110455201364296,1996,4,2,0,92,14,1,0,3.9827586206896552,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,223,3.802690582959641
1996-05,3.514423076923077,832,1.0004974232627404,3.0,14,261,1996-05-01,3.5980069556088807,-0.22497086247086218,-6.016238623613013,1996,5,2,2,122,18,1,0,3.7393939393939393,3.9827586206896552,,,,165.0,,,3.7455252123355574,0.234227965387777,3.514423076923077,3.9827586206896552,,,,,,,,,351.6666666666667,419.40712122391693,58.0,832.0,,,,,1055,3.575355450236967
1996-06,3.5402038505096263,883,0.99164466522607,3.0,15,241,1996-06-01,3.583307816983362,0.025780773586549177,0.7335705753765076,1996,6,2,5,153,22,1,0,3.514423076923077,3.7393939393939393,3.9827586206896552,,,832.0,58.0,,3.5980069556088807,0.123121368817755,3.514423076923077,3.7393939393939393,,,,,,,,,626.6666666666666,400.6274245896471,165.0,883.0,,,,,1938,3.559339525283798
1996-07,3.6952965235173822,489,0.8655510681916609,4.0,12,176,1996-07-01,3.564968771540356,0.15509267300775598,4.380896681569046,1996,7,3,0,183,27,1,0,3.5402038505096263,3.514423076923077,3.7393939393939393,,,883.0,165.0,,3.583307816983362,0.09783795206898302,3.514423076923077,3.6952965235173822,,,,,,,,,734.6666666666666,214.27630138056188,489.0,883.0,,,,,2427,3.5867325916769675
1996-08,3.4594059405940594,1010,0.9459294900587941,3.0,23,263,1996-08-01,3.4413244324815917,-0.23589058292332288,-6.38353597396264,1996,8,3,3,214,31,1,0,3.6952965235173822,3.5402038505096263,3.514423076923077,,,489.0,832.0,,3.564968771540356,0.11987938840025904,3.4594059405940594,3.6952965235173822,3.655246991937956,0.19358127881320644,3.4594059405940594,3.9827586206896552,,,,,794.0,271.6633946633224,489.0,1010.0,572.8333333333334,398.2197467060953,58.0,1010.0,3437,3.549316264183881
1996-09,3.1692708333333335,384,0.8909135098713938,3.0,10,162,1996-09-01,3.333623095765459,-0.2901351072607259,-8.386847691280286,1996,9,3,6,245,35,1,0,3.4594059405940594,3.6952965235173822,3.5402038505096263,3.9827586206896552,,1010.0,883.0,58.0,3.4413244324815917,0.2634785805053559,3.1692708333333335,3.6952965235173822,3.5196656940452367,0.20296984370573387,3.1692708333333335,3.7393939393939393,,,,,627.6666666666666,335.24667535015675,384.0,1010.0,627.1666666666666,330.38971937193605,165.0,1010.0,3821,3.5111227427375034
1996-10,3.372192513368984,935,0.91880019366311,3.0,12,382,1996-10-01,3.4238415654651893,0.20292168003565036,6.402787603425608,1996,10,4,1,275,40,1,0,3.1692708333333335,3.4594059405940594,3.6952965235173822,3.7393939393939393,,384.0,489.0,165.0,3.333623095765459,0.14886334369818757,3.1692708333333335,3.4594059405940594,3.4584654563744106,0.1771884928197132,3.1692708333333335,3.6952965235173822,,,,,776.3333333333334,341.833780269495,384.0,1010.0,755.5,256.1770871877499,384.0,1010.0,4756,3.4838099243061396
1996-11,3.7300613496932513,978,1.0008881400555245,4.0,17,265,1996-11-01,3.6092480197135557,0.35786883632426747,10.612348936352367,1996,11,4,4,306,44,1,0,3.372192513368984,3.1692708333333335,3.4594059405940594,3.514423076923077,,935.0,1010.0,832.0,3.4238415654651893,0.28394052061414815,3.1692708333333335,3.7300613496932513,3.494405168502773,0.2096959257885479,3.1692708333333335,3.7300613496932513,,,,,765.6666666666666,331.2315403661514,384.0,978.0,779.8333333333334,271.37974623517266,384.0,1010.0,5734,3.525810952214859
1996-12,3.7254901960784315,306,0.9999035633345554,4.0,9,203,1996-12-01,3.6531838485905612,-0.004571153614819856,-0.1225490196078316,1996,12,4,6,336,48,1,0,3.7300613496932513,3.372192513368984,3.1692708333333335,3.5402038505096263,,978.0,384.0,883.0,3.6092480197135557,0.20530881295637055,3.372192513368984,3.7300613496932513,3.525286226097574,0.23040956527393494,3.1692708333333335,3.7300613496932513,,,,,739.6666666666666,376.1812506403441,306.0,978.0,683.6666666666666,324.5370035399148,306.0,1010.0,6040,3.5359271523178806
1997-01,3.504,250,0.9017965112990647,3.0,11,96,1997-01-01,3.665764017887857,-0.22149019607843146,-5.945263157894742,1997,1,1,2,1,1,1,0,3.7254901960784315,3.7300613496932513,3.372192513368984,3.6952965235173822,,306.0,935.0,489.0,3.6531838485905612,0.12921721778293171,3.504,3.7300613496932513,3.4934034721780094,0.21489224325524225,3.1692708333333335,3.7300613496932513,,,,,511.3333333333333,405.11397573193324,250.0,978.0,643.8333333333334,365.31433953058377,250.0,1010.0,6290,3.534658187599364
1997-02,3.7678018575851393,323,0.9183855996725885,4.0,6,211,1997-02-01,3.7271165320928685,0.2638018575851393,7.528591826059916,1997,2,1,5,32,5,1,0,3.504,3.7254901960784315,3.7300613496932513,3.4594059405940594,,250.0,978.0,1010.0,3.665764017887857,0.1416801584107041,3.504,3.7678018575851393,3.5448027916765237,0.24049144789248827,3.1692708333333335,3.7678018575851393,3.6000248918072395,0.21598463838390144,3.1692708333333335,3.9827586206896552,293.0,38.19685850956929,250.0,323.0,529.3333333333334,333.9063741030808,250.0,978.0,6613,3.546045667624376
1997-03,3.909547738693467,398,0.8616423287844324,4.0,4,289,1997-03-01,3.7889491043911945,0.14174588110832786,3.762031191289217,1997,3,1,5,60,9,1,0,3.7678018575851393,3.504,3.7254901960784315,3.1692708333333335,3.9827586206896552,323.0,306.0,384.0,3.7271165320928685,0.20581232682387055,3.504,3.909547738693467,3.6681822759032117,0.19486422166020412,3.372192513368984,3.909547738693467,3.5939239849742237,0.20494248349368802,3.1692708333333335,3.909547738693467,323.6666666666667,74.00225221797903,250.0,398.0,531.6666666666666,332.73452881639224,250.0,978.0,7011,3.566680929967194
1997-04,3.689497716894977,219,0.8319476561164769,3.0,4,182,1997-04-01,3.7717390242500533,-0.2200500217984902,-5.628528835205593,1997,4,2,1,91,14,1,0,3.909547738693467,3.7678018575851393,3.504,3.372192513368984,3.7393939393939393,398.0,250.0,935.0,3.7889491043911945,0.11153881637791722,3.689497716894977,3.909547738693467,3.721066476490878,0.13109103774477607,3.504,3.909547738693467,3.589765966432644,0.20221073573744047,3.1692708333333335,3.909547738693467,313.3333333333333,89.89067434018607,219.0,398.0,412.3333333333333,283.97229911853464,219.0,978.0,7230,3.5704011065006918
1997-05,3.716171617161716,303,0.8370374260265966,4.0,5,213,1997-05-01,4.008238984368104,0.026673900266739103,0.7229683364376127,1997,5,2,3,121,18,1,0,3.689497716894977,3.909547738693467,3.7678018575851393,3.7300613496932513,3.514423076923077,219.0,323.0,978.0,3.7717390242500533,0.12008874040171419,3.689497716894977,3.909547738693467,3.718751521068955,0.1310230503974809,3.504,3.909547738693467,3.606578344785864,0.20375809250368312,3.1692708333333335,3.909547738693467,306.6666666666667,89.55631375471742,219.0,398.0,299.8333333333333,62.03036890641936,219.0,398.0,7533,3.5762644364794904
1997-06,4.619047619047619,84,0.6190696849414773,5.0,2,84,1997-06-01,3.9831683168316823,0.9028760018859026,24.29586399391017,1997,6,2,6,152,22,1,0,3.716171617161716,3.689497716894977,3.909547738693467,3.7254901960784315,3.5402038505096263,303.0,398.0,306.0,4.008238984368104,0.5291438985646066,3.689497716894977,4.619047619047619,3.8676777582304864,0.39070416129892244,3.504,4.619047619047619,3.69648199216403,0.35424534781818046,3.1692708333333335,4.619047619047619,202.0,110.48529313895166,84.0,303.0,262.8333333333333,107.30408504184017,84.0,398.0,7617,3.587764211631876
1997-07,3.6142857142857143,70,1.120207759494033,4.0,3,58,1997-07-01,3.8630885122410543,-1.0047619047619043,-21.75257731958762,1997,7,3,1,182,27,1,0,4.619047619047619,3.716171617161716,3.689497716894977,3.504,3.6952965235173822,84.0,219.0,250.0,3.9831683168316823,0.5530389222660411,3.6142857142857143,4.619047619047619,3.886058710611439,0.37233521668567543,3.6142857142857143,4.619047619047619,3.6897310913947248,0.3550410165531241,3.1692708333333335,4.619047619047619,152.33333333333334,130.6687924997144,70.0,303.0,232.83333333333334,133.55959967994235,70.0,398.0,7687,3.588005723949525
1997-09,3.3559322033898304,236,1.0316310055219713,3.0,1,236,1997-09-01,3.6567393058918483,-0.2583535108958839,-7.148120854826823,1997,9,3,0,244,36,1,0,3.6142857142857143,4.619047619047619,3.716171617161716,3.7678018575851393,3.4594059405940594,70.0,303.0,323.0,3.8630885122410543,0.6673022272710405,3.3559322033898304,4.619047619047619,3.817413768245554,0.43172774514007056,3.3559322033898304,4.619047619047619,3.681108279961039,0.36232521125283634,3.1692708333333335,4.619047619047619,130.0,92.06519429187175,70.0,236.0,218.33333333333334,126.3402812513351,70.0,398.0,7923,3.5810930203205857
1997-10,4.0,1,,4.0,1,1,1997-10-01,3.785310734463277,0.6440677966101696,19.191919191919204,1997,10,4,2,274,40,1,0,3.3559322033898304,3.6142857142857143,4.619047619047619,3.909547738693467,3.1692708333333335,236.0,84.0,398.0,3.6567393058918483,0.32412584321180626,3.3559322033898304,4.0,3.8324891451299763,0.4371337761384256,3.3559322033898304,4.619047619047619,3.750335710516594,0.3338862432090367,3.3559322033898304,4.619047619047619,102.33333333333333,120.79045216130882,1.0,236.0,152.16666666666666,117.04258484272482,1.0,303.0,7924,3.5811458859162038
1997-11,4.0,4,1.1547005383792515,4.0,1,4,1997-11-01,3.9285714285714284,0.0,0.0,1997,11,4,5,305,44,1,0,4.0,3.3559322033898304,3.6142857142857143,3.689497716894977,3.372192513368984,1.0,70.0,219.0,3.785310734463277,0.37185271574925044,3.3559322033898304,4.0,3.88423952564748,0.43519522466441624,3.3559322033898304,4.619047619047619,3.8026530010691793,0.3180587496690964,3.3559322033898304,4.619047619047619,80.33333333333333,134.81963259604825,1.0,236.0,116.33333333333333,125.12180731857427,1.0,303.0,7928,3.5813572149344095
1997-12,3.7857142857142856,28,1.1660996354464568,4.0,1,28,1997-12-01,3.630325814536341,-0.2142857142857144,-5.35714285714286,1997,12,4,0,335,49,1,0,4.0,4.0,3.3559322033898304,3.716171617161716,3.7300613496932513,4.0,236.0,303.0,3.9285714285714284,0.1237179148263504,3.7857142857142856,4.0,3.8958299704062416,0.4307270106311972,3.3559322033898304,4.619047619047619,3.807290745737598,0.3173089000804385,3.3559322033898304,4.619047619047619,11.0,14.798648586952742,1.0,28.0,70.5,87.89937428673622,1.0,236.0,7956,3.5820764203117146
1998-01,3.1052631578947367,57,1.304993302203882,3.0,3,44,1998-01-01,3.630325814536341,-0.6804511278195489,-17.974180734856006,1998,1,1,3,1,1,1,0,3.7857142857142856,4.0,4.0,4.619047619047619,3.7254901960784315,28.0,1.0,84.0,3.630325814536341,0.46716986941196087,3.1052631578947367,4.0,3.643532560214094,0.3599047115659055,3.1052631578947367,4.0,3.755605159222291,0.37678411044228005,3.1052631578947367,4.619047619047619,29.666666666666668,26.539279065819553,4.0,57.0,66.0,87.76103919165807,1.0,236.0,8013,3.578684637464121
1998-02,4.0,1,,4.0,1,1,1998-02-01,3.686369770580297,0.8947368421052633,28.81355932203391,1998,2,1,6,32,5,1,0,3.1052631578947367,3.7857142857142856,4.0,3.6142857142857143,3.504,57.0,4.0,70.0,3.630325814536341,0.46716986941196087,3.1052631578947367,4.0,3.7078182744998087,0.38705936141633396,3.1052631578947367,4.0,3.7969384925556238,0.3738681431902451,3.1052631578947367,4.619047619047619,28.666666666666668,28.00595174839534,1.0,57.0,54.5,91.57019165645413,1.0,236.0,8014,3.5787372098827053
1998-03,3.953846153846154,130,1.084503519184989,4.0,2,128,1998-03-01,3.692948717948718,-0.04615384615384599,-1.1538461538461497,1998,3,1,6,60,9,1,0,4.0,3.1052631578947367,3.7857142857142856,3.3559322033898304,3.7678018575851393,1.0,28.0,236.0,3.686369770580297,0.5037819129929758,3.1052631578947367,4.0,3.8074705995758626,0.35389183130334156,3.1052631578947367,4.0,3.8124421839107083,0.3763989627490772,3.1052631578947367,4.619047619047619,62.666666666666664,64.68642309892735,1.0,130.0,36.833333333333336,50.617849289222086,1.0,130.0,8144,3.5847249508840866
1998-05,3.125,32,0.7931155389125321,3.0,4,29,1998-05-01,3.793723911747168,-0.828846153846154,-20.963035019455255,1998,5,2,4,121,18,1,0,3.953846153846154,4.0,3.1052631578947367,4.0,3.909547738693467,130.0,57.0,1.0,3.692948717948718,0.49239908005944977,3.125,4.0,3.661637266242529,0.4306487022869699,3.1052631578947367,4.0,3.7470632056862527,0.4232227340377817,3.1052631578947367,4.619047619047619,54.333333333333336,67.33745861950422,1.0,130.0,42.0,47.72839825512413,1.0,130.0,8176,3.5829256360078277
1998-06,4.3023255813953485,43,0.772592534785447,4.0,2,43,1998-06-01,3.4403769637099537,1.1773255813953485,37.67441860465115,1998,6,2,0,152,23,1,0,3.125,3.953846153846154,4.0,4.0,3.689497716894977,32.0,1.0,4.0,3.793723911747168,0.6047753553701396,3.125,4.3023255813953485,3.7120248631417545,0.4915384505727121,3.1052631578947367,4.3023255813953485,3.798132194394617,0.4516634235353653,3.1052631578947367,4.619047619047619,68.33333333333333,53.68736660829473,32.0,130.0,48.5,44.03067112820037,1.0,130.0,8219,3.5866893782698623
1998-07,2.893805309734513,113,1.2772936781839557,3.0,3,106,1998-07-01,3.488346151385024,-1.4085202716608354,-32.73857928725186,1998,7,3,2,182,27,1,0,4.3023255813953485,3.125,3.953846153846154,3.7857142857142856,3.716171617161716,43.0,130.0,28.0,3.4403769637099537,0.755367004077528,2.893805309734513,4.3023255813953485,3.5633733671451253,0.5898338316786805,2.893805309734513,4.3023255813953485,3.729601668775683,0.5221224788875051,2.893805309734513,4.619047619047619,62.666666666666664,43.93555887129969,32.0,113.0,62.666666666666664,49.455704086246804,1.0,130.0,8332,3.5772923667786847
1998-08,3.26890756302521,119,1.2261105584540435,3.0,3,111,1998-08-01,3.3875709575865742,0.3751022532906969,12.962249119831416,1998,8,3,5,213,31,1,0,2.893805309734513,4.3023255813953485,3.125,3.1052631578947367,4.619047619047619,113.0,32.0,57.0,3.488346151385024,0.7294500047747542,2.893805309734513,4.3023255813953485,3.5906474346668715,0.567785459902812,2.893805309734513,4.3023255813953485,3.6170899974404827,0.4540673917677422,2.893805309734513,4.3023255813953485,91.66666666666667,42.253205006643384,43.0,119.0,73.0,54.2770669804453,1.0,130.0,8451,3.5729499467518635
1998-10,4.0,1,,4.0,1,1,1998-10-01,3.756302521008404,0.73109243697479,22.36503856041132,1998,10,4,3,274,40,1,0,3.26890756302521,2.893805309734513,4.3023255813953485,4.0,3.6142857142857143,119.0,43.0,1.0,3.3875709575865742,0.5625632623087901,2.893805309734513,4.0,3.5906474346668715,0.567785459902812,2.893805309734513,4.3023255813953485,3.6492328545833392,0.4673098452172632,2.893805309734513,4.3023255813953485,77.66666666666667,66.46302230062547,1.0,119.0,73.0,54.2770669804453,1.0,130.0,8452,3.5730004732607665
1998-11,4.0,4,1.1547005383792515,4.0,1,4,1998-11-01,3.904761904761905,0.0,0.0,1998,11,4,6,305,44,1,0,4.0,3.26890756302521,2.893805309734513,3.953846153846154,3.3559322033898304,1.0,113.0,130.0,3.756302521008404,0.4220964152898947,3.26890756302521,4.0,3.5983397423591783,0.5739691326074569,2.893805309734513,4.3023255813953485,3.7029051709675205,0.4675474806775827,2.893805309734513,4.3023255813953485,41.333333333333336,67.27803009403182,1.0,119.0,52.0,52.14594902770242,1.0,119.0,8456,3.573202459791864
1998-12,3.7142857142857144,7,0.7559289460184544,4.0,1,7,1998-12-01,3.7380952380952386,-0.2857142857142856,-7.14285714285714,1998,12,4,1,335,49,1,0,4.0,4.0,3.26890756302521,3.125,4.0,4.0,119.0,32.0,3.904761904761905,0.1649572197684657,3.7142857142857144,4.0,3.6965540280734643,0.5251132272434038,2.893805309734513,4.3023255813953485,3.6790956471579968,0.4582246939704506,2.893805309734513,4.3023255813953485,4.0,3.0000000000215947,1.0,7.0,47.833333333333336,54.98514951026689,1.0,119.0,8463,3.573319153964315
1999-01,3.5,4,1.0,4.0,1,4,1999-01-01,3.561011904761905,-0.2142857142857144,-5.769230769230771,1999,1,1,4,1,53,1,0,3.7142857142857144,4.0,4.0,4.3023255813953485,4.0,7.0,1.0,43.0,3.7380952380952386,0.2508488988774465,3.5,4.0,3.562833097840906,0.43430544439927193,2.893805309734513,4.0,3.6374289804913302,0.4490323824759298,2.893805309734513,4.3023255813953485,5.0,1.7320508076061856,4.0,7.0,41.333333333333336,57.89876222050349,1.0,119.0,8467,3.573284516357624
1999-02,3.46875,32,1.294763024774256,4.0,2,31,1999-02-01,3.5133928571428577,-0.03125,-0.8928571428571397,1999,2,1,0,32,5,1,0,3.5,3.7142857142857144,4.0,2.893805309734513,3.7857142857142856,4.0,4.0,113.0,3.561011904761905,0.13365547553114232,3.46875,3.7142857142857144,3.658657212885154,0.2997552258330034,3.26890756302521,4.0,3.6110152900151395,0.44883918519298927,2.893805309734513,4.3023255813953485,14.333333333333334,15.373136743471044,4.0,32.0,27.833333333333332,46.08434296663454,1.0,119.0,8499,3.572890928344511
